"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"TRIM22",642.58248659928,1.10053967748845,0.276730998969585,9.61967694942399e-06,0.001425548672296
"MS4A6A",422.954503489695,1.09669985253671,0.538933062759776,0.000292620959421332,0.0185603667685881
"ZC3H12D",44.3546661272297,1.08384083675285,0.664637031337254,0.000548996878322567,0.0292457454690724
"ARHGAP30",241.975275215826,1.07578375108688,0.54043664603287,0.000316235022186562,0.0194526305534459
"RNASE6",84.31857439942,1.07215910852248,0.58152439160562,0.000398008330863498,0.0231711921478781
"RASSF4",350.316770165963,1.06971296364618,0.480192760197769,0.000219788282142935,0.0153216772270858
"HIST1H3D",246.686042832437,1.05836409545849,0.470089865808326,0.000212496346141279,0.0149306161140043
"CD68",1736.1883813698,1.04873754839113,0.257481686280919,7.48782297400104e-06,0.00119920943795651
"PTAFR",395.058602354459,1.04235482040091,0.523036359091982,0.000319143911985128,0.0194845127687999
"LY9",19.4855906056501,1.03518329439361,0.903420808920215,0.00109936075530572,0.0497796657562183
"LILRA6",42.1444486660223,1.03160442742753,0.880238721658289,0.00108550289328682,0.0492890881990764
"LRRK2",515.670751110316,1.03088365411675,0.66041007777829,0.000637970585268333,0.032909995286263
"IRF4",58.7192839286862,1.02709516561777,0.728934877024171,0.000810305262646931,0.0397045858077327
"FLI1",186.932123029217,1.0259367432232,0.485241155281337,0.000264903047446592,0.0174120345823665
"SLC7A7",467.162114839196,1.00775879532211,0.366849251041531,9.83574318744506e-05,0.00778312862614281
"TRIL",48.9618007215665,0.999851954245677,0.52394341736877,0.000369846567863267,0.0217648696849787
"RNASE1",873.232783538646,0.995195881120212,0.374042451047865,0.000112668035104182,0.00870427317646098
"FGR",219.34713477151,0.991942244404722,0.774945941029261,0.00101923965542684,0.0470669281108013
"MS4A7",456.835006240767,0.989441350157528,0.695464602232438,0.000822450994089621,0.0400202198646415
"CORO1A",355.889147169779,0.988601109134405,0.268018089782445,1.81763620380467e-05,0.00227917598140153
"ARHGEF6",237.930255750409,0.982779202371886,0.552672107879762,0.000459573875637892,0.0253949618534687
"SYT11",183.085091715546,0.981178606991957,0.679461187945827,0.000800048542554609,0.0394005779220021
"B2M",37554.5473870453,0.976750640946946,0.250261536551152,1.11706265287916e-05,0.00155634515423788
